naics,naics_description
111140,Wheat Farming
111160,Rice Farming
111150,Corn Farming
111110,Soybean Farming
111120,Oilseed (except Soybean) Farming
111130,Dry Pea and Bean Farming
111150,Corn Farming
111191,Oilseed and Grain Combination Farming
111199,All Other Grain Farming
111920,Cotton Farming
111910,Tobacco Farming
111930,Sugarcane Farming
111991,Sugar Beet Farming
111211,Potato Farming
111199,All Other Grain Farming
111211,Potato Farming
111219,Other Vegetable (except Potato) and Melon Farming
111940,Hay Farming
111992,Peanut Farming
111998,All Other Miscellaneous Crop Farming
112519,Other Aquaculture
111211,Potato Farming
111219,Other Vegetable (except Potato) and Melon Farming
111333,Strawberry Farming
111334,Berry (except Strawberry) Farming
111332,Grape Vineyards
111335,Tree Nut Farming
111310,Orange Groves
111320,Citrus (except Orange) Groves
111331,Apple Orchards
111339,Other Noncitrus Fruit Farming
111336,Fruit and Tree Nut Combination Farming
111339,Other Noncitrus Fruit Farming
111421,Nursery and Tree Production
111422,Floriculture Production
111411,Mushroom Production
111419,Other Food Crops Grown Under Cover
111998,All Other Miscellaneous Crop Farming
112519,Other Aquaculture
112112,Cattle Feedlots
112111,Beef Cattle Ranching and Farming
112210,Hog and Pig Farming
112410,Sheep Farming
112420,Goat Farming
112990,All Other Animal Production
112111,Beef Cattle Ranching and Farming
112120,Dairy Cattle and Milk Production
112320,Broilers and Other Meat Type Chicken Production
112310,Chicken Egg Production
112330,Turkey Production
112340,Poultry Hatcheries
112390,Other Poultry Production
112930,Fur-Bearing Animal and Rabbit Production
112920,Horses and Other Equine Production
112511,Finfish Farming and Fish Hatcheries
112512,Shellfish Farming
112519,Other Aquaculture
112519,Other Aquaculture
112910,Apiculture
112990,All Other Animal Production
112990,All Other Animal Production
115112,"Soil Preparation, Planting, and Cultivating"
115112,"Soil Preparation, Planting, and Cultivating"
115113,"Crop Harvesting, Primarily by Machine"
115114,Postharvest Crop Activities (except Cotton Ginning)
311119,Other Animal Food Manufacturing
115111,Cotton Ginning
541940,Veterinary Services
541940,Veterinary Services
115210,Support Activities for Animal Production
311611,Animal (except Poultry) Slaughtering
115210,Support Activities for Animal Production
812910,Pet Care (except Veterinary) Services
115115,Farm Labor Contractors and Crew Leaders
115116,Farm Management Services
541320,Landscape Architectural Services
541690,Other Scientific and Technical Consulting Services
561730,Landscaping Services
561730,Landscaping Services
111421,Nursery and Tree Production
113110,Timber Tract Operations
111998,All Other Miscellaneous Crop Farming
112519,Other Aquaculture
113210,Forest Nurseries and Gathering of Forest Products
115310,Support Activities for Forestry
114111,Finfish Fishing
114112,Shellfish Fishing
111998,All Other Miscellaneous Crop Farming
112512,Shellfish Farming
112519,Other Aquaculture
114112,Shellfish Fishing
114119,Other Marine Fishing
112511,Finfish Farming and Fish Hatcheries
112512,Shellfish Farming
114210,Hunting and Trapping
212210,Iron Ore Mining
212230,"Copper, Nickel, Lead, and Zinc Mining"
212230,"Copper, Nickel, Lead, and Zinc Mining"
212221,Gold Ore Mining
212222,Silver Ore Mining
212230,"Copper, Nickel, Lead, and Zinc Mining"
212299,All Other Metal Ore Mining
213114,Support Activities for Metal Mining
238910,Site Preparation Contractors
541360,Geophysical Surveying and Mapping Services
212291,Uranium-Radium-Vanadium Ore Mining
212299,All Other Metal Ore Mining
212111,Bituminous Coal and Lignite Surface Mining
212112,Bituminous Coal Underground Mining
212113,Anthracite Mining
213113,Support Activities for Coal Mining
238910,Site Preparation Contractors
211120,Crude Petroleum Extraction
211130,Natural Gas Extraction
213111,Drilling Oil and Gas Wells
213112,Support Activities for Oil and Gas Operatons
541360, Geophysical Surveying and Mapping Services
213112,Support Activities for Oil and Gas Operations
237120,Oil and Gas Pipeline and Related Structures Construction
238910,Site Preparation Contractors
212311,Dimension Stone Mining and Quarrying
212312,Crushed and Broken Limestone Mining and Quarrying
212313,Crushed and Broken Granite Mining and Quarrying
212319,Other Crushed and Broken Stone Mining and Quarrying
