BorrowerName,BorrowerAddress,BorrowerCity,BorrowerZip,FranchiseName,NAICSCode,BorrowerZip_6dig,Race,Ethnicity
EPSILON SYSTEMS SOLUTIONS INC,9242 LIGHTWAVE AVE Ste 100,SAN DIEGO,92123-6402,,336611.0,92123,Unanswered,Unknown/NotStated
YMCA OF SAN DIEGO COUNTY,3708 Ruffin Rd,San Diego,92123-1812,,813410.0,92123,Unanswered,Unknown/NotStated
"CERCA TROVA RESTAURANT GROUP HOLDINGS, INC.",7676 HAZARD CENTER DR,SAN DIEGO,92108-4501,Outback Steakhouse,722511.0,92108,Unanswered,Unknown/NotStated
RETAIL SERVICES WIS CORPORATION,9265 SKY PARK CT STE 100,SAN DIEGO,92123-4375,,561499.0,92123,White,Not Hispanic or Latino
"THE KLEINFELDER GROUP, INC.",550 West C Street,SAN DIEGO,92101,,541330.0,92101,Unanswered,Unknown/NotStated
"TRADEMARK CONSTRUCTION CO., INC.",15916 Bernardo Center Drive,SAN DIEGO,92127,,236116.0,92127,Unanswered,Unknown/NotStated
"EVANS HOTELS, LLC",998 WEST MISSION BAY DR,SAN DIEGO,92109-7803,,721110.0,92109,Unanswered,Unknown/NotStated
MILLENNIUM HEALTH LLC,16981 Via Tazon,SAN DIEGO,92127,,541380.0,92127,Unanswered,Unknown/NotStated
A.O. REED & CO,4777 RUFFNER ST,SAN DIEGO,92111-1519,,238220.0,92111,Unanswered,Unknown/NotStated
SAN DIEGO UNION-TRIBUNE LLC THE,600 B St Ste 1201,San Diego,92101-4505,,511110.0,92101,Unanswered,Unknown/NotStated
"MISSION HEALTHCARE SERVICES, LLC",2385 NORTHSIDE DR Ste 200,SAN DIEGO,92108-2702,,621610.0,92108,Unanswered,Unknown/NotStated
HAWTHORNE MACHINERY CO.,16945 CAMINO SAN BERNARDO,SAN DIEGO,92127-2405,,423810.0,92127,Unanswered,Unknown/NotStated
AVID CENTER,9797 Aero Drive STE 100,SAN DIEGO,92123-1829,,611430.0,92123,Unanswered,Unknown/NotStated
REDHORSE CORPORATION,1370 INDIA STREET #200,SAN DIEGO,92101-3418,,541611.0,92101,White,Not Hispanic or Latino
CLAIM JUMPER ACQUISITION COMPANY LLC,12730 HIGH BLUFF DR,SAN DIEGO,92130-3023,,722511.0,92130,Unanswered,Unknown/NotStated
PREMIER FOOD CONCEPTS LLC,13520 Evening Creek Dr North Ste 400-A,SAN DIEGO,92128,,541990.0,92128,Unanswered,Unknown/NotStated
NINYO &AMP; MOORE GEOTECHNICAL &AMP; ENVIRONMENT,5710 RUFFIN RD,SAN DIEGO,92123,,541620.0,92123,Unanswered,Unknown/NotStated
F &AMP; B ASSOCIATES INC,4901 Morena Blvd Ste 1107,San Diego,92117,,722320.0,92117,Unanswered,Unknown/NotStated
"BRIGANTINE, INC.  THE",7889 Ostrow St.,SAN DIEGO,92111-3602,,722511.0,92111,Unanswered,Unknown/NotStated
BARTELL HOTELS,4875 N Harbor Drive,San Diego,92106,,721110.0,92106,Unanswered,Unknown/NotStated
"INVIVOSCRIBE, INC.",10222 Barnes Canyon Rd. Bldg 1,SAN DIEGO,92121-2710,,541711.0,92121,Unanswered,Unknown/NotStated
"FISH MARKET RESTAURANTS, INC.",1 Tuna Lane,San Diego,92101,,722511.0,92101,Unanswered,Unknown/NotStated
MERRY X-RAY CHEMICAL CORP,4909 Murphy Canyon Rd Ste 120,San Diego,92123,,423450.0,92123,Unanswered,Unknown/NotStated
"D&K ENGINEERING,A CALIFORNIA C",16990 GOLDENTOP RD,SAN DIEGO,92127-2414,,334516.0,92127,White,Not Hispanic or Latino
"KINGS & CONVICTS BP, LLC",9045 Carroll Way 0.0,San Diego,92121-2405,,722410.0,92121,Unanswered,Unknown/NotStated
"NATIONAL FUNDING, INC.",9820 TOWNE CENTRE DRIVE,SAN DIEGO,92121,,522310.0,92121,Unanswered,Unknown/NotStated
INNOVASYSTEMS INTL LLC,2385 Northside Drive Ste 300,San Diego,92108,,453998.0,92108,Unanswered,Unknown/NotStated
GLENN A RICK ENGINEERING AND DEVELOPMENT CO.,5620 Friars Rd.,San Diego,92110,,541330.0,92110,White,Unknown/NotStated
"MAD ENGINE, LLC",6740 COBRA WAY Ste 100,SAN DIEGO,92121-4102,,424320.0,92121,Unanswered,Not Hispanic or Latino
"ASSOCIATED MICROBREWERIES, LTD","5965 SANTA FE ST, STE E",SAN DIEGO,92109-1623,,722511.0,92109,Unanswered,Not Hispanic or Latino
CZIRPOLO REAL ESTATE LLC,525 B Street,San Diego,92101-4401,,541110.0,92101,Unanswered,Unknown/NotStated
