account_key,dba_name,council_district,naics_code,naics_description,naics_nchar
1974000448,ERNST & YOUNG LLP,cd_1,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1974011093,HECHT SOLBERG ROBINSON GOLDBERG & BAGLEY LLP,cd_3,5411,LEGAL SERVICES,4
1978039819,RSM US LLP,cd_1,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1978042092,THORSNES BARTOLOTTA MCGUIRE LLP,cd_3,5411,LEGAL SERVICES,4
1979046817,KORENIC & WOJDOWSKI LLP,cd_7,5412,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,4
1979053082,GRIMM VRANJES GREER STEPHAN & BRIDGMAN LLP,cd_3,5411,LEGAL SERVICES,4
1981000840,BENINK & SLAVENS LLP,cd_7,5411,LEGAL SERVICES,4
1982006408,MAX L. PERLATTI & ASSOCIATES LLP,cd_2,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1984014611,RBTK LLP,cd_6,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1985008871,CWGB&S CPAS ,cd_3,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1987006330,FINCH THORTON & BAIRD LLP,cd_1,5411,LEGAL SERVICES,4
1987007978,FINKELSTEIN & KRINSK LLP,cd_3,5411,LEGAL SERVICES,4
1988000382,MANHATTAN,cd_1,7221,FULL-SERVICE RESTAURANTS,4
1989013971,TIC TAC TOW LLP,cd_8,48841,MOTOR VEHICLE TOWING,5
1990012245,LATHAM & WATKINS LLP,cd_1,54111,OFFICES OF LAWYERS,5
1991000910,ABC FAMILY LAW,cd_3,5411,LEGAL SERVICES,4
1992002133,THE FOUR AMIGOS LP,cd_6,5312,OFFICES OF REAL ESTATE AGENTS & BROKERS,4
1992007579,HUGHES & NUNN LLP,cd_3,5411,LEGAL SERVICES,4
1993002502,O B QUIK STOP MARKET,cd_2,4451,GROCERY STORES,4
