dba_name,business_owner_name,naics_code,address_no,address_pd,address_road,address_sfx,address_city,address_zip,zip_6dig
KLEINFELDER CONSTRUCTION SERVICES,KLEINFELDER CONSTRUCTION SERVICES INC,54161,550,W,C,ST,SAN DIEGO,92101-3532,92101
KLEINFELDER INC,KLEINFELDER INC,541615,770,,01ST,AVE,SAN DIEGO,92101-6171,92101
PN SHUTTLE SERVICE,NICHOLAS C WATSON & PAUL M BAK-SKLENER,4855,,,,,SAN DIEGO,92176-1038,92176
DENTAL ARTICULATING PAPER CO,KLEIN STEVEN H,422,9285,,DOWDY,DR,SAN DIEGO,92126-6381,92126
COLORS INTERIOR DESIGN,CHIEN-HO SUN,54141,17303,,CARRANZA,DR,SAN DIEGO,92127-1326,92127
JANETTE L DUNHAM ,JANETTE L DUNHAM,62431,11653,,THISTLE HILL,PL,SAN DIEGO,92130-8678,92130
GDO SPORTS INC,GDO SPORTS INC,33992,4660,,LA JOLLA VILLAGE,DR,SAN DIEGO,92121,92121
DOWNTOWN ACE HARDWARE,STERLING HARDWARE GROUP,44413,675,,06TH,AVE,SAN DIEGO,92101,92101
EZ LABS LLC,EZ LABS LLC,54199,6195,,CORNERSTONE,CT,SAN DIEGO,92121-4728,92121
VALLEY SECURITY SHOP,MAIORIELLO ALBERT S,54199,28092,,1/2 N LAKE WOHLFORD,,VALLEY CENTER,92082,92082
IDS GROUP INC,IDS GROUP INC,54133,4445,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-4108,92108
STARSHINE MARKET,ALTON NAMU INC,44531,4475,,CLAIREMONT MESA,BLVD,SAN DIEGO,92117-2055,92117
SCRUBBISHSD,ANTONIO FRANCISCO,562998,3020,,MARQUETTE,ST,SAN DIEGO,92106-1012,92106
AFFIRMED HOUSING GROUP INC,AFFIRMED HOUSING GROUP INC,541,13520,,EVENING CREEK,DR,SAN DIEGO,92128-8123,92128
DOMINGO CASILLAS,CASILLAS DOMINGO,56172,5858,,SCHUYLER,ST,SAN DIEGO,92139-1735,92139
VISIONARY CARE CONSULTANTS,TINA BUCHANAN,62199,4136,,CAMINO PAZ,,SPRING VALLEY,91977-1106,91977
GONZALO DOMINGUEZ,GONZALO DOMINGUEZ,452999,3500,,SPORTS ARENA,BLVD,SAN DIEGO,92110-4919,92110
EL SALVADOR PUPUSERIA Y RESTAURANTE,JAIME SANTOS,7221,3824,,UNIVERSITY,AVE,SAN DIEGO,92105-1324,92105
CHIYODA INTEGRE OF AMERICA INC,CHIYODA INTEGRE OF AMERICA INC,42,9335,,AIRWAY,RD,SAN DIEGO,92154-7930,92154
TCP GLOBAL CORPORATION,TRI CITY PAINT CORP,452,6695,,RASHA,ST,SAN DIEGO,92121-2240,92121
VAXIION THERAPEUTICS LLC,VAXIION THERAPEUTICS LLC,621999,11585,,SORRENTO VALLEY,RD,SAN DIEGO,92121-1310,92121
GHOST CAB,CHRIS L DE LA VEGA,48599,3070,,COMSTOCK,ST,SAN DIEGO,92111-5510,92111
NARCISCO TANTAY AUTO SERVICE,NARCISCO TANTAY,811111,3708,,JUST,ST,SAN DIEGO,92154-2415,92154
MG CONSTRUCTION,MARK A GARZA,81149,30735,,BLOOMFEST,ST,MURRIETA,92563-1180,92563
ZAR ESQ,ERIC D ZARD,54111,6711,,HYACINTH,CIR,CARLSBAD,92011-3320,92011
O'REILLY AUTO ENTERPRISES #2714,O' REILLY AUTO ENTERPRISES LLC,44131,,,,,SPRINGFIELD,65801-9167,65801
ABS AUTO AUCTIONS,THOMAS J HARMON,42111,5905,,EL CAJON,BLVD,SAN DIEGO,92115-3827,92115
JORDAN COASTAL SIGNING LLC,JORDAN COASTAL SIGNING LLC,54112,12560,,CARMEL CREEK,RD,SAN DIEGO,92130-2380,92130
STORAGE WEST,LAACO LTD,4931,431,W,7TH,ST,LOS ANGELES,90014,90014
W O W DETAILING,JAVIER ALVAREZ III,811193,1351,,MAX,AVE,CHULA VISTA,91911-4511,91911
PFEIFER CONSTRUCTION,ALAN ROSS PFEIFER,2349,4519,,AVOCADO,BLVD,LA MESA,91941-7131,91941
JAMES M BARB CONSTRUCTION CO,JAMES M BARB CONSTRUCTION CO,23599,10701,,RANCHITOS,RD,ALBUQUERQUE,87122-2516,87122
NEKTER JUICE BAR,JCPS JUICE CORPORATION,722213,834,,KLINE,ST,LA JOLLA,92037-4308,92037
RALLY'S HAMBURGERS,ONG'S RESTAURANT GROUP,722,1545,,PALM,AVE,SAN DIEGO,92154-1017,92154
